,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Davanagere, KA",33.0,,,,,,,,,,,,,,,,,,21.43,21.43,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,8.33,25.48,25.48,25.48,54.05
"Dharwad, KA",10.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,42.86,42.86,42.86,28.57,28.57,30.95,30.95,2.38,2.38,2.38,6.46,6.46,4.08,4.08,4.08,4.08,4.08,0.0,1.59,1.59,1.59,1.59
"Gadag, KA",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.29,14.29,21.43,21.43,26.19,26.19,26.19,11.9,11.9,4.76,4.76,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57
"Hassan, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haveri, KA",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulbarga, KA",62.0,,,,,,21.43,21.43,21.43,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,8.33,8.33,8.33,8.33,8.33,9.29,11.33,7.76,9.54,9.54,14.3,14.3,12.16,11.07,13.75,11.96,13.47,8.71,12.11,10.18,11.7,9.44,9.44,7.93,8.75,5.35,6.02,6.21,6.07,6.62,6.62,7.39,7.87
"Kodagu, KA",1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kolar, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koppal, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandya, KA",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48,15.48,10.71,16.84,18.27,18.27,7.55,7.55,7.55,10.15,5.12,4.72,4.72,6.62,6.62,6.62,4.02,9.65,8.63,8.63,7.87
"Mysore, KA",88.0,,,,,,,,,,,,,,21.43,45.24,38.1,40.48,45.58,39.94,39.94,44.7,20.89,17.32,14.94,9.84,9.15,11.08,8.02,8.32,4.75,4.75,7.73,7.65,8.53,8.2,8.25,8.25,8.6,5.96,5.23,2.42,1.21,0.85,0.85,0.51,0.33,0.33,0.33,0.16,0.16,0.16
"Raichur, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramanagara, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shimoga, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tumkur, KA",7.0,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,11.9,15.48,8.33,14.05,14.05,14.05
"Udupi, KA",3.0,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uttara Kannada, KA",11.0,,,,,,,,,,,,,,,47.62,47.62,20.83,20.83,20.83,16.07,1.79,1.79,1.79,0.0,1.59,1.59,1.59,1.59,1.59,1.59,3.02,1.43,1.43,1.43,1.43,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bijapur (Karnataka), KA",47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.69,29.17,28.13,22.01,12.82,11.91,10.41,10.41,3.66,2.32,2.32,2.2,1.76,2.41,2.41,1.99
"Yadgir, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alappuzha, KL",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,16.67,16.67,16.67,9.52,9.52,9.52,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ernakulam, KL",24.0,,,0.0,0.0,0.0,42.86,48.21,50.81,53.01,53.96,56.64,56.64,13.78,8.43,6.58,4.38,3.43,2.89,2.89,2.89,3.52,2.76,2.76,2.76,0.62,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Idukki, KL",24.0,,,,,,,,0.0,0.0,0.0,14.29,21.43,21.43,21.43,21.43,30.95,30.95,16.67,23.81,23.81,23.81,23.81,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,5.71,5.71,11.84,14.69,14.69,14.69,8.98,8.98,8.98,2.86,0.0
"Kannur, KL",116.0,,14.29,14.29,14.29,0.0,0.0,21.43,32.86,40.79,40.79,40.79,49.98,51.22,29.79,22.93,19.76,20.08,20.72,11.84,10.89,11.19,6.9,2.14,2.65,3.08,3.76,3.92,5.19,5.11,5.51,5.44,4.56,4.3,3.84,2.79,2.76,3.35,4.11,4.9,4.17,4.17,3.79,3.62,2.77,1.61,0.64,0.64,0.64,0.64,0.64,0.51
"Kasaragod, KL",179.0,0.0,14.29,14.29,14.29,21.43,50.0,59.52,64.29,63.57,65.77,65.77,59.58,41.13,31.78,28.22,17.35,15.42,16.99,16.98,7.64,8.09,6.99,5.19,5.3,3.82,3.24,2.73,2.27,2.17,1.27,0.98,0.89,0.61,0.35,0.17,0.26,0.26,0.42,0.42,0.34,0.59,0.59,0.5,0.5,0.33,0.49,0.57,0.32,0.32,0.32,0.32
"Kollam, KL",20.0,,,,,,,,,,,,,,,,,,,,30.95,19.52,19.52,21.9,16.8,16.8,9.06,9.06,6.21,6.21,3.83,1.79,1.79,0.0,0.0,0.0,0.0,0.0,1.59,1.59,3.02,3.02,6.91,6.91,6.91,5.32,11.45,10.02,10.02,6.12,6.12,6.12
"Kottayam, KL",21.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,11.9,11.9,19.05,26.98,33.11,33.11,28.34,21.2,21.2,14.06,6.84,0.71
"Kozhikode, KL",24.0,,,,,,,,,,,,,,,20.71,20.71,6.43,2.86,5.24,2.38,2.38,12.59,12.59,12.59,12.59,10.2,10.2,11.39,1.19,1.19,4.49,4.49,6.27,7.07,6.63,6.63,6.63,3.33,4.76,4.27,3.48,2.73,2.73,2.73,2.73,1.3,0.0,0.0,0.0,0.0,0.0
"Malappuram, KL",24.0,,,,,,,,,14.29,17.86,17.86,26.43,26.43,28.21,15.52,15.52,11.94,14.8,7.42,7.42,5.63,4.05,6.25,7.2,4.34,4.94,6.52,6.52,6.52,4.33,3.37,3.37,1.59,0.0,0.0,0.0,0.0,0.71,1.39,1.39,1.39,1.39,1.39,2.04,1.33,0.65,1.27,1.27,1.27,1.27,0.62
"Palakkad, KL",13.0,,,,,,,,,,,,,,,,,36.9,11.19,11.19,11.19,8.81,5.24,5.24,5.24,2.38,2.38,2.38,0.0,0.0,2.04,2.04,2.04,2.04,2.04,2.04,2.04,0.0,7.14,7.14,7.14,7.14,7.14,7.14,8.33,1.19,1.19,1.19,1.19,1.19,1.19,0.0
"Pathanamthitta, KL",17.0,11.43,11.43,0.0,0.0,0.0,0.0,0.0,0.0,1.59,1.59,4.44,4.44,4.44,4.44,4.44,2.86,2.86,0.0,1.19,1.19,1.19,2.29,3.31,3.31,4.26,3.07,3.07,3.07,2.87,1.85,1.85,0.89,0.89,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiruvananthapuram, KL",17.0,,,,,,4.76,4.76,0.0,0.0,3.57,3.57,3.57,3.57,9.29,11.33,11.33,11.33,14.18,15.37,15.37,9.66,7.62,7.62,4.05,1.19,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,1.02,1.02,1.02,1.02,2.93,1.9,1.9,1.9,1.9,1.9
"Thrissur, KL",13.0,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,7.14,7.14,7.14,16.67,19.52,19.52,21.9,14.76,16.8,20.37,12.28,10.72,10.72,8.34,8.34,6.3,3.92,2.49,1.19,1.19,1.19,1.19,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wayanad, KL",4.0,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76
"Kargil, LA",9.0,,,,,,,,,,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,9.29,9.29,9.29,9.29,7.76,9.54,9.54
"Leh(Ladakh), LA",33.0,7.14,7.14,26.19,19.05,19.05,23.13,26.3,26.3,26.3,7.26,7.26,7.26,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,2.49,2.49,3.59,3.59,2.29,2.29,2.29,1.1,1.1,0.0,0.0,0.0,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.0,17.14,17.14
"Lakshadweep, LD",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agar Malwa, MP",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,16.84,18.27,7.55,7.55,7.55,1.43,2.73,2.73,1.3,1.3,1.3,1.3
"Alirajpur, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,21.43,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0
"Anuppur, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashok Nagar, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balaghat, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barwani, MP",26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.24,45.24,48.3,9.64,9.64,7.26,7.91,7.91,7.91,4.85,0.65,0.65,1.27,0.62,0.62,0.62,0.62,0.62,1.81,1.19,1.19,1.19,1.19
"Betul, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bhind, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhopal, MP",563.0,,,,,,,,,,,,,,,21.43,21.43,21.43,7.14,30.95,23.81,36.31,39.17,73.29,78.91,80.43,57.23,59.85,49.2,46.67,13.39,9.38,8.68,10.56,8.0,8.19,7.92,8.52,8.69,8.85,7.32,9.09,8.17,9.1,8.09,7.32,7.13,6.91,5.58,4.47,3.64,4.02
"Burhanpur, MP",34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chhatarpur, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chhindwara, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,0.0,0.0
"Damoh, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Datia, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dewas, MP",26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.99,33.89,34.73,34.73,30.76,24.37,5.32,3.99,3.1,2.26,2.94,2.8,2.04,2.67,1.95,3.14,3.14,2.46,1.81
"Dhar, MP",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71,45.24,53.81,53.81,47.56,43.27,43.27,28.99,22.32,13.75,13.75,5.71,4.44,7.3,7.3,4.74,5.33,6.45,6.45
"Dindori, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Khandwa (East Nimar), MP",47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,44.7,44.7,44.7,44.7,16.13,15.18,1.3,1.3,1.7,1.7,1.7,1.7,5.17,3.87,3.87,3.79,3.79,3.79
"Guna, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gwalior, MP",7.0,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,28.57,28.57,28.57,28.57,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,2.38,2.38
"Harda, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57
"Hoshangabad, MP",36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.62,19.4,14.64,14.64,8.1,8.1,7.14,7.71,8.13,3.36,4.32,4.17,4.6,5.02,4.45,2.25,2.25,1.71,1.26
"Indore, MP",1611.0,,,,,,,,,,,,,,,,,,56.6,39.11,37.51,33.14,33.92,30.61,21.09,13.01,16.6,11.18,12.22,12.96,12.05,15.67,18.21,18.53,20.33,18.14,16.68,16.42,13.1,8.6,4.66,2.94,3.11,4.24,4.1,5.76,6.72,6.48,5.76,5.27,4.28,4.3
"Jabalpur, MP",98.0,,,,,,,,,,,,,11.19,11.19,7.62,7.62,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.79,1.79,1.79,3.37,6.23,6.23,5.63,5.63,8.93,8.93,9.13,7.07,7.07,8.88,13.85,16.09,21.4,22.04,21.45,23.08,21.36,16.72,12.02,7.32,5.2
"Jhabua, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katni, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandla, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandsaur, MP",35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.81,73.81,73.81,73.81,73.81,2.38,0.0,0.0,2.04,2.04,2.04,2.04,2.04,28.83,35.66,34.04,34.04
"Morena, MP",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,1.19,1.19,2.29,2.29,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.93,2.93,3.77
"Narsimhapur, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neemuch, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niwari, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panna, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raisen, MP",59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14,57.14,58.93,58.93,25.6,25.6,25.6,11.31,24.64,22.86,22.86,15.3,20.5,21.13,23.57,10.75,10.75,10.75,9.28
"Rajgarh, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ratlam, MP",16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71,85.71,85.71,71.43,0.0,0.0,0.0,0.0,1.19,1.19,1.19,1.19,2.29,4.33,4.33,3.14,3.14
"Rewa, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sagar, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.29,14.29,14.29,14.29,14.29,35.71,35.71,21.43,21.43,21.43,21.43,21.43,0.0,0.0,0.0,0.0,0.0
"Satna, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14
"Sehore, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seoni, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shahdol, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shajapur, MP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.43,49.29,49.29,49.29,6.43,6.43,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,2.38,2.38
"Sheopur, MP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,21.43,21.43,21.43,11.9,11.9,11.9,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shivpuri, MP",2.0,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sidhi, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singrauli, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tikamgarh, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0
"Ujjain, MP",154.0,,,,,,,,,,,,,,,,,,35.0,37.38,23.1,8.81,8.81,7.28,13.35,15.55,13.17,13.17,13.17,13.17,19.7,11.96,11.96,11.96,12.44,12.9,12.9,5.22,6.55,7.21,17.62,18.53,18.22,18.69,19.75,17.76,15.41,6.35,5.98,5.83,6.31,5.24
"Umaria, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidisha, MP",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.71,60.71,60.71,46.43,32.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khargone (West Nimar), MP",77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71,30.95,34.01,34.01,23.93,23.93,21.55,22.28,22.28,19.57,19.91,1.42,4.74,6.63,5.9,6.14,5.79,5.45,7.55,4.23,2.96,3.74,3.5,3.5
"Ahmadnagar, MH",53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58,17.5,11.94,11.94,7.37,5.21,1.82,0.0,0.0
"Akola, MH",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.34,7.05,2.29,3.31,2.12,2.12,2.12,5.78,5.78,5.78,5.48,6.16,6.16,9.4,7.29,7.29,7.29,11.04,14.78,14.78
"Amravati, MH",58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,42.86,42.86,46.43,46.43,3.57,3.57,6.43,15.95,15.95,15.24,16.43,18.63,19.58,17.61,10.61,12.04,13.08,11.89,9.69,8.74,9.38,8.24,16.89
"Aurangabad (Bihar), MH",294.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57,47.62,53.74,58.03,58.03,33.85,33.85,35.53,16.48,13.37,9.08,9.08,7.79,7.79,6.11,6.11,3.11,3.11,4.64,1.53,1.53,1.53,1.53,2.45,18.9,20.39,24.71,28.54,34.47,36.18,39.64
"Bhandara, MH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Bid, MH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Buldana, MH",24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23,16.14,9.8,9.8,8.7,6.66,1.3,0.0,0.0
"Chandrapur, MH",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,11.9,11.9
"Dhule, MH",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,83.33,89.83,90.72,90.72,92.4,25.48,13.58,13.58,7.08,6.19,6.76,5.63,1.65,3.69
"Gadchiroli, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gondiya, MH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
"Hingoli, MH",52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,87.76,87.76,87.76,87.76,87.76,100.26,14.54,12.5,19.17,28.91,30.84,34.24
"Jalgaon, MH",57.0,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,25.0,35.2,36.39,42.99,29.45,30.17,43.77,33.06,22.86,23.06,16.78,16.03,18.73
"Jalna, MH",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,21.43,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,4.76,22.62,22.62,22.62
"Kolhapur, MH",14.0,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,14.29,14.29,17.86,17.86,17.86,17.86,17.86,3.57,3.57,0.0,2.86,2.86,5.24,5.24,5.24,5.24,5.24,4.42,6.21,5.41,5.41,8.27,9.46,10.56,8.52,6.73
"Latur, MH",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.79,3.37,6.23,6.23,6.23,6.23,4.44,4.44,11.19
"Mumbai, MH",9310.0,,,,25.14,12.64,15.81,22.63,26.39,30.08,30.15,30.54,29.06,26.76,22.41,19.62,14.34,21.69,22.2,26.31,28.12,27.33,29.48,30.32,23.93,22.57,21.47,20.93,17.62,16.36,16.9,15.51,15.05,13.07,11.02,10.32,10.95,10.29,10.16,9.99,10.81,11.67,12.27,10.68,9.67,8.75,8.88,7.63,8.2,7.35,7.22,7.07
"Mumbai Suburban, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nagpur, MH",174.0,,,,33.33,33.33,4.76,0.0,0.0,0.0,0.0,0.0,3.57,15.0,18.17,22.07,24.11,24.11,24.11,20.54,9.11,6.83,2.93,0.89,2.57,2.57,2.57,7.08,6.19,7.91,13.52,13.67,17.24,17.5,13.24,14.0,12.76,7.84,6.45,7.35,8.88,8.77,8.73,8.52,10.5,10.96,6.8,5.12,4.98,4.98,5.3,4.7
"Nanded, MH",31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,33.33,33.33,129.76,101.19
"Nandurbar, MH",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05,21.9,17.14,13.57,5.0,5.0,1.43,2.73,1.3,8.44
"Nashik, MH",382.0,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,57.14,57.14,71.43,75.0,71.43,75.92,75.92,33.68,35.47,21.18,21.05,11.4,8.5,10.29,11.73,10.5,12.77,10.13,10.7,13.91,12.12,10.21,12.92,11.83,12.22,15.51
"Osmanabad, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
